4,138421510,4.01E-04,0
10,138421512,0.006393701,0
4,138421611,0.001028696,0
10,138421613,0.004174729,0
4,138421711,0.001184499,0
10,138421713,0.018069043,0
4,138421812,6.73E-04,0
10,138421814,0.010549522,0
4,138421913,0.001170957,0
10,138421915,0.008298351,0
4,138422013,7.17E-04,0
10,138422015,0.006316427,0
4,138422114,5.30E-04,0
10,138422116,0.006876228,0
4,138422215,5.33E-04,0
10,138422217,0.004422353,0
ACTION_DOWN=0,138422315,138422315,138422315
ACTION_MOVE=2,138422315,138422327,138422327
ACTION_MOVE=2,138422315,138422344,138422344
ACTION_MOVE=2,138422315,138422360,138422360
ACTION_MOVE=2,138422315,138422376,138422376
ACTION_MOVE=2,138422315,138422393,138422393
ACTION_MOVE=2,138422315,138422396,138422396
ACTION_UP=1,138422315,138422406,138422406
4,138422316,0.004280247,0
10,138422318,0.003127317,0
4,138422416,0.354536401,0.354536401
10,138422418,0.650603231,0.650603231
4,138422517,0.30827222,0.30827222
10,138422519,0.864853224,0.864853224
4,138422618,0.01711724,0
10,138422620,0.248832629,0.248832629
4,138422718,0.002166103,0
10,138422720,0.099274043,0.099274043
4,138422819,9.85E-04,0
10,138422821,0.027286325,0
4,138422920,0.001479237,0
10,138422922,0.009212746,0
4,138423020,0.001182138,0
10,138423022,0.009016447,0
4,138423121,0.00187993,0
10,138423123,0.006358915,0
4,138423222,8.79E-04,0
10,138423224,0.007306354,0
4,138423323,0.001369811,0
10,138423325,0.005407538,0
ACTION_DOWN=0,138423379,138423379,138423379
ACTION_MOVE=2,138423379,138423390,138423390
ACTION_MOVE=2,138423379,138423407,138423407
ACTION_MOVE=2,138423379,138423423,138423423
ACTION_MOVE=2,138423379,138423439,138423439
ACTION_MOVE=2,138423379,138423456,138423456
ACTION_MOVE=2,138423379,138423460,138423460
ACTION_UP=1,138423379,138423469,138423469
4,138423423,0.15786884,0.15786884
10,138423425,0.527921335,0.527921335
4,138423524,0.108000636,0.108000636
10,138423526,0.852239478,0.852239478
4,138423625,0.006350113,0
10,138423627,0.838969843,0.838969843
4,138423725,0.008749316,0
10,138423727,0.398435809,0.398435809
4,138423826,0.001109388,0
10,138423828,0.024458008,0
4,138423927,8.06E-04,0
10,138423929,0.054071962,0.054071962
4,138424028,0.001756816,0
10,138424030,0.051940256,0.051940256
4,138424128,8.78E-04,0
10,138424130,0.046820421,0
4,138424229,0.001493881,0
10,138424231,0.031111959,0
4,138424330,0.001389891,0
10,138424332,0.025006766,0
Keyboard=0,138424376,138424376,138424376
